id;title;SCHULE1;address;lat;lng;type;SCHULFORM1;icon;color;Gebaeudeklasse;KESSFaktor;Summe2011;Summe2012;Summe2013;Summe2014;Summe2015;SCHULE2;REGION2;SCHULFORM2;Kessfaktor2;Plankosten2016
;;Berufliche Schule Holz, Farbe, Textil (G 6);;;;;Berufsschule;;;3,2;0;;;85999;56584;73251;;;;;
;;Berufliche Schule Recycling- und Umwelttechnik (G 8);;;;;Berufsschule;;;4,3;0;;;86292;51522;34469;;;;;
;;Berufliche Schule William Lindley (G 2);;;;;Berufsschule;;;3;0;;;13610;32618;39759;;;;;
5418;Bildungszentrum für Blinde und Sehbehinderte;Bildungszentrum für Blinde und Sehbehinderte;Carl-Cohn-Straße 2, 22303 Hamburg;53.601392;10.01186;Sonderschule;Sonderschule;fa-building-o;green;4,4;0;;;20918;34569;30740;;;;;
7918;Bilinguale Grundschule PHORMS Hamburg;;Wendenstraße 35, 20097 Hamburg;53.547458;10.02699;Grundschule;;fa-building-o;green;;;;;;;;;;;;
8302;Bilinguales Gymnasium Phorms Hamburg;;Wendenstraße 35, 20097 Hamburg;53.547458;10.02699;Gymnasium;;fa-building-o;green;;;;;;;;;;;;
5097;Brüder-Grimm-Schule;Brüder-Grimm-Schule;Steinadlerweg 26, 22119 Hamburg;53.551606;10.106824;Stadtteilschule;Stadtteilschule;fa-building-o;green;4;2;;;23621;22337;25686;Brüder Grimm Schule;Hamburg-Mitte;Stadtteilschule;4;73000
3229;Bugenhagen-Schule Alsterdorf (Grundschule);;Alsterdorfer Straße 506, 22337 Hamburg;53.616453;10.027866;Grundschule;;fa-building-o;green;;;;;;;;;;;;
3223;Bugenhagen-Schule Alsterdorf (Stadtteilschule);;Alsterdorfer Straße 506, 22337 Hamburg;53.616453;10.027866;Stadtteilschule;;fa-building-o;green;;;;;;;;;;;;
3218;Bugenhagen-Schule Alsterdorf, Schule für Kinder mit besonderem Förderbedarf;;Alsterdorfer Straße 506, 22337 Hamburg;53.616453;10.027866;Sonderschule;;fa-building-o;green;;;;;;;;;;;;
3231;Bugenhagen-Schule Groß Flottbek;;Bei der Flottbeker Mühle 28, 22607 Hamburg;53.573012;9.869074;Grundschule;;fa-building-o;green;;;;;;;;;;;;
3232;Bugenhagen-Schule Hamm, Evangelische Grundschule Paulus;;Quellenweg 10, 20535 Hamburg;53.561475;10.059502;Grundschule;;fa-building-o;green;;;;;;;;;;;;
3225;Bugenhagen-Schule im Hessepark (Grundschule);;Oesterleystraße 22, 22587 Hamburg;53.562148;9.807543;Grundschule;;fa-building-o;green;;;;;;;;;;;;
